RENT0000000001,IDS00007,S00610,2024-02-27,2024-03-12,2024-03-03,1
RENT0000000002,IDS00043,S00568,2024-02-28,2024-03-13,2024-03-04,6
RENT0000000003,IDS00034,S00617,2024-02-28,2024-03-13,2024-03-01,3
RENT0000000004,IDS00049,S00028,2024-02-28,2024-03-13,2024-03-05,8
RENT0000000005,IDS00016,S00202,2024-02-29,2024-03-14,2024-03-04,8
RENT0000000006,IDS00017,S00397,2024-02-29,2024-03-14,2024-03-02,6
RENT0000000007,IDS00011,S00196,2024-03-01,2024-03-15,2024-03-12,8
RENT0000000008,IDS00014,S00524,2024-03-01,2024-03-15,2024-03-13,6
RENT0000000009,IDS00028,S00006,2024-03-02,2024-03-16,2024-03-15,7
RENT0000000010,IDS00041,S00004,2024-03-02,2024-03-16,2024-03-11,5
RENT0000000011,IDS00003,S00027,2024-03-02,2024-03-16,2024-03-11,10
RENT0000000012,IDS00047,S00196,2024-03-02,2024-03-16,2024-03-07,8
RENT0000000013,IDS00011,S00077,2024-03-03,2024-03-17,2024-03-11,1
RENT0000000014,IDS00004,S00477,2024-03-03,2024-03-17,2024-03-04,4
RENT0000000015,IDS00028,S00407,2024-03-04,2024-03-18,2024-03-12,4
RENT0000000016,IDS00033,S00034,2024-03-04,2024-03-18,2024-03-12,2
RENT0000000017,IDS00046,S00488,2024-03-05,2024-03-19,2024-03-14,3
RENT0000000018,IDS00021,S00147,2024-03-05,2024-03-19,2024-03-16,7
RENT0000000019,IDS00016,S00125,2024-03-05,2024-03-19,2024-03-10,6
RENT0000000020,IDS00008,S00295,2024-03-05,2024-03-19,2024-03-12,7
RENT0000000021,IDS00050,S00523,2024-03-06,2024-03-20,2024-03-08,4
RENT0000000022,IDS00050,S00317,2024-03-06,2024-03-20,2024-03-14,2
RENT0000000023,IDS00033,S00096,2024-03-06,2024-03-20,2024-03-09,6
RENT0000000024,IDS00028,S00120,2024-03-07,2024-03-21,2024-03-18,4
RENT0000000025,IDS00046,S00304,2024-03-07,2024-03-21,2024-03-10,9
RENT0000000026,IDS00042,S00028,2024-03-07,2024-03-21,2024-03-08,3
RENT0000000027,IDS00033,S00024,2024-03-07,2024-03-21,2024-03-15,3
RENT0000000028,IDS00024,S00322,2024-03-07,2024-03-21,2024-03-20,9
RENT0000000029,IDS00025,S00268,2024-03-07,2024-03-21,2024-03-14,10
RENT0000000030,IDS00029,S00486,2024-03-07,2024-03-21,2024-03-07,6
RENT0000000031,IDS00018,S00360,2024-03-08,2024-03-22,2024-03-11,8
RENT0000000032,IDS00016,S00617,2024-03-08,2024-03-22,2024-03-18,5
RENT0000000033,IDS00034,S00241,2024-03-08,2024-03-22,2024-03-12,6
RENT0000000034,IDS00004,S00013,2024-03-08,2024-03-22,2024-03-12,9
RENT0000000035,IDS00043,S00609,2024-03-08,2024-03-22,2024-03-19,7
RENT0000000036,IDS00013,S00534,2024-03-08,2024-03-22,2024-03-08,5
RENT0000000037,IDS00038,S00625,2024-03-09,2024-03-23,2024-03-16,10
RENT0000000038,IDS00028,S00251,2024-03-10,2024-03-24,2024-03-13,8
RENT0000000039,IDS00011,S00167,2024-03-10,2024-03-24,2024-03-17,4
RENT0000000040,IDS00022,S00463,2024-03-10,2024-03-24,2024-03-22,1
RENT0000000041,IDS00049,S00544,2024-03-10,2024-03-24,2024-03-15,1
